id,name,value
4414,梅州市,0
4416,河源市,0
4412,肇庆市,0
4413,惠州市,0
4409,茂名市,0
4407,江门市,0
4417,阳江市,0
4453,云浮市,0
4401,广州市,0
4415,汕尾市,0
4452,揭阳市,0
4404,珠海市,0
4406,佛山市,2
4451,潮州市,0
4405,汕头市,0
4403,深圳市,0
4419,东莞市,0
4420,中山市,0
4510,百色市,0
4512,河池市,0
4503,桂林市,0
4501,南宁市,0
4502,柳州市,0
4514,崇左市,0
4513,来宾市,0
4509,玉林市,0
4504,梧州市,0
4511,贺州市,0
4507,钦州市,0
4508,贵港市,0
4506,防城港市,0
4505,北海市,1
5203,遵义市,0
5226,黔东南苗族侗族自治州,0
5224,毕节地区,0
5227,黔南布依族苗族自治州,0
5222,铜仁地区,0
5223,黔西南布依族苗族自治州,0
5202,六盘水市,0
5204,安顺市,0
5201,贵阳市,0
469003,儋州市,0
469005,文昌市,0
469033,乐东黎族自治县,0
4602,三亚市,2
469036,琼中黎族苗族自治县,0
469007,东方市,0
4601,海口市,2
469006,万宁市,1
469027,澄迈县,0
469030,白沙黎族自治县,0
469002,琼海市,1
469031,昌江黎族自治县,0
469028,临高县,0
469034,陵水黎族自治县,1
469026,屯昌县,0
469025,定安县,1
469035,保亭黎族苗族自治县,0
469001,五指山市,0
1308,承德市,0
1307,张家口市,0
1306,保定市,0
1302,唐山市,0
1309,沧州市,0
1301,石家庄市,0
1305,邢台市,0
1304,邯郸市,0
1303,秦皇岛市,2
1311,衡水市,0
1310,廊坊市,0
4113,南阳市,0
4115,信阳市,0
4103,洛阳市,0
4117,驻马店市,0
4116,周口市,0
4114,商丘市,0
4112,三门峡市,0
4107,新乡市,0
4104,平顶山市,0
4101,郑州市,0
4105,安阳市,0
4102,开封市,0
4108,焦作市,0
4110,许昌市,0
4109,濮阳市,0
4111,漯河市,0
4106,鹤壁市,0
2311,黑河市,0
2327,大兴安岭地区,0
2301,哈尔滨市,0
2302,齐齐哈尔市,0
2310,牡丹江市,0
2312,绥化市,0
2307,伊春市,0
2308,佳木斯市,0
2303,鸡西市,0
2305,双鸭山市,0
2306,大庆市,0
2304,鹤岗市,0
2309,七台河市,0
4228,恩施土家族苗族自治州,0
4203,十堰市,0
4205,宜昌市,0
4206,襄樊市,0
4211,黄冈市,0
4210,荆州市,0
4208,荆门市,0
4212,咸宁市,0
4213,随州市,0
4209,孝感市,0
4201,武汉市,0
4202,黄石市,0
429021,神农架林区,0
429006,天门市,0
429004,仙桃市,0
429005,潜江市,0
4207,鄂州市,0
4312,怀化市,0
4311,永州市,0
4305,邵阳市,0
4310,郴州市,0
4307,常德市,0
4331,湘西土家族苗族自治州,0
4304,衡阳市,0
4306,岳阳市,0
4309,益阳市,0
4301,长沙市,0
4302,株洲市,0
4308,张家界市,0
4313,娄底市,0
4303,湘潭市,0
2224,延边朝鲜族自治州,0
2202,吉林市,0
2208,白城市,0
2207,松原市,0
2201,长春市,0
2206,白山市,0
2205,通化市,0
2203,四平市,0
2204,辽源市,0
3209,盐城市,0
3203,徐州市,0
3206,南通市,0
3208,淮安市,0
3205,苏州市,1
3213,宿迁市,0
3207,连云港市,0
3210,扬州市,0
3201,南京市,1
3212,泰州市,0
3202,无锡市,2
3204,常州市,0
3211,镇江市,0
3607,赣州市,0
3608,吉安市,0
3611,上饶市,0
3604,九江市,0
3610,抚州市,0
3609,宜春市,0
3601,南昌市,0
3602,景德镇市,0
3603,萍乡市,0
3606,鹰潭市,0
3605,新余市,0
2102,大连市,0
2113,朝阳市,0
2106,丹东市,0
2112,铁岭市,0
2101,沈阳市,0
2104,抚顺市,0
2114,葫芦岛市,0
2109,阜新市,0
2107,锦州市,0
2103,鞍山市,0
2105,本溪市,0
2108,营口市,0
2110,辽阳市,0
2111,盘锦市,0
1507,呼伦贝尔市,0
1529,阿拉善盟,0
1525,锡林郭勒盟,0
1506,鄂尔多斯市,0
1504,赤峰市,0
1508,巴彦淖尔市,0
1505,通辽市,0
1509,乌兰察布市,0
1522,兴安盟,0
1502,包头市,0
1501,呼和浩特市,0
1503,乌海市,0
6403,吴忠市,0
6405,中卫市,0
6404,固原市,0
6401,银川市,0
6402,石嘴山市,0
6328,海西蒙古族藏族自治州,0
6327,玉树藏族自治州,0
6326,果洛藏族自治州,0
6325,海南藏族自治州,0
6322,海北藏族自治州,0
6323,黄南藏族自治州,0
6321,海东地区,0
6301,西宁市,0
3706,烟台市,0
3713,临沂市,0
3707,潍坊市,0
3702,青岛市,0
3717,菏泽市,0
3708,济宁市,1
3714,德州市,0
3716,滨州市,0
3715,聊城市,0
3705,东营市,0
3701,济南市,2
3709,泰安市,2
3710,威海市,0
3711,日照市,0
3703,淄博市,0
3704,枣庄市,0
3712,莱芜市,0
6108,榆林市,0
6106,延安市,0
6107,汉中市,0
6109,安康市,0
6110,商洛市,0
6103,宝鸡市,0
6105,渭南市,0
6104,咸阳市,0
6101,西安市,2
6102,铜川市,0
1409,忻州市,0
1411,吕梁市,0
1410,临汾市,0
1407,晋中市,2
1408,运城市,0
1402,大同市,0
1404,长治市,0
1406,朔州市,0
1405,晋城市,0
1401,太原市,2
1403,阳泉市,0
310230,崇明县,0
310119,南汇区,1
310120,奉贤区,0
310115,浦东新区,2
310116,金山区,0
310118,青浦区,1
310117,松江区,0
310114,嘉定区,0
310113,宝山区,0
310112,闵行区,1
310110,杨浦区,3
310107,普陀区,1
310104,徐汇区,2
310105,长宁区,0
310108,闸北区,1
310109,虹口区,1
310101,黄浦区,2
310103,卢湾区,2
310106,静安区,2
5133,甘孜藏族自治州,0
5132,阿坝藏族羌族自治州,0
5134,凉山彝族自治州,0
5107,绵阳市,0
5117,达州市,0
5108,广元市,0
5118,雅安市,0
5115,宜宾市,0
5111,乐山市,0
5113,南充市,0
5119,巴中市,0
5105,泸州市,0
5101,成都市,0
5120,资阳市,0
5104,攀枝花市,0
5114,眉山市,0
5116,广安市,0
5106,德阳市,0
5110,内江市,0
5109,遂宁市,0
5103,自贡市,0
7100,台湾,0
120225,蓟县,0
120114,武清区,0
120115,宝坻区,0
120223,静海县,0
120221,宁河县,0
120109,大港区,0
120107,塘沽区,0
120111,西青区,0
120113,北辰区,0
120110,东丽区,0
120108,汉沽区,0
120112,津南区,0
120103,河西区,0
120102,河东区,0
120104,南开区,0
120105,河北区,0
120106,红桥区,0
120101,和平区,0
5424,那曲地区,0
5425,阿里地区,0
5423,日喀则地区,0
5426,林芝地区,0
5421,昌都地区,0
5422,山南地区,0
5401,拉萨市,0
8100,香港,0
6528,巴音郭楞蒙古自治州,0
6532,和田地区,0
6522,哈密地区,0
6529,阿克苏地区,0
6543,阿勒泰地区,0
6531,喀什地区,0
6542,塔城地区,0
6523,昌吉回族自治州,0
6530,克孜勒苏柯尔克孜自治州,0
6521,吐鲁番地区,0
6540,伊犁哈萨克自治州,0
6527,博尔塔拉蒙古自治州,0
6501,乌鲁木齐市,0
6502,克拉玛依市,0
659002,阿拉尔市,0
659003,图木舒克市,0
659004,五家渠市,0
659001,石河子市,0
5308,普洱市,0
5325,红河哈尼族彝族自治州,0
5326,文山壮族苗族自治州,0
5303,曲靖市,0
5323,楚雄彝族自治州,1
5329,大理白族自治州,2
5309,临沧市,0
5334,迪庆藏族自治州,2
5306,昭通市,0
5301,昆明市,2
5307,丽江市,2
5328,西双版纳傣族自治州,0
5305,保山市,0
5304,玉溪市,0
5333,怒江傈僳族自治州,0
5331,德宏傣族景颇族自治州,0
3311,丽水市,2
3301,杭州市,4
3303,温州市,1
3302,宁波市,2
3309,舟山市,0
3310,台州市,0
3307,金华市,4
3308,衢州市,2
3306,绍兴市,1
3304,嘉兴市,1
3305,湖州市,0
